slope,intercept
-0.8087818849381914,0.5902038472274304
0.9085063321625423,0.24424632310551775
-0.7094170403624733,0.7329596412550232
-0.36602571740655376,0.7344626371991574
-0.16519029257747264,0.7416145048789722
0.3454791910527577,0.36807767583735507
-1.2954170895443233,1.3573190229953997
0.0024839082072667384,0.5911634581732252
-1.1321637435247476,0.9543859653865359
1.1116700161293738,-0.08129890088746916
-0.9049189272886046,0.9849376226331136
-1.124575338876751,1.4061264543581482
-0.9048982222695907,0.872224344766004
-1.163375949521819,0.8170009101689255
-0.41961581049698415,1.2725774080852137
-0.5678817733990147,0.652413793103448
-0.149697068278745,0.6303889431088653
1.4285891199574952,-0.42492702351072337
-0.8590925063535233,0.7535549140015727
-1.0370680522723625,1.1429062883123065
-0.08340691249852927,0.6191806940307765
0.7230411949404885,0.25626254943003235
-0.8182421061765703,0.668984962906217
-0.8492630539667914,0.9221834282533957
0.06370305302333168,0.8669372173986418
0.020288960678910395,0.6688264997460182
-1.1192174451238408,1.0655780861219235
0.919276219890057,0.12919431271262893
-0.9318209116681404,0.9749023374526319
0.7879194570232657,0.17995985981545914
0.6142971262441017,0.33003819825496994
-0.9242105336848743,0.7594486258595884
0.0011884242526433164,0.5839776920360173
0.9707599933834439,0.13620008126032568
-0.08774998956684277,0.6018281331868981
0.6506806864842886,0.3193247037028133
-0.09665439657355424,0.7274562717400321
-1.1216287504451101,1.5968767239019557
0.9287748934235077,0.173061271816216
-0.6981059871779337,0.6122198026023998
-0.5499108989852586,0.3660806076366763
-1.0735323895013205,0.9431752462596499
-0.6981158974815571,0.5148678555973191
-1.0415602304995144,1.1707689803891936
-0.429271060077977,0.7583627616494416
0.02631578670597179,0.548684211251814
0.8492577254901718,0.20858509553761395
0.45567451355661726,0.3065242756880515
0.786539083397597,0.2533373335349442
0.677943907648794,0.2943716593141471
0.00429554005133026,0.6824452842229707
0.7780697675994397,0.25646690807764516
-0.1379924885145185,0.7585472998451442
0.9153094028825838,0.030356319859374814
-0.5072096563384318,0.3798778599213382
-0.9458782664560883,1.0233196782270029
1.7580428337600753,-0.7378815054060037
1.3751879706646921,-0.3401230354114254
0.8316329861961423,0.07140631350242
-0.882604228587873,0.7879899922778568
-0.011388059957489816,0.6409244973056702
-0.7754447387113116,0.5928175400635205
-0.7702673958943791,0.6176714524281265
-0.6066090319525232,0.42056784816519077
1.0206726806302147,0.0016805065523598196
