model,a,b,d,bic,task_id,slope,intercept,c
linear,,,,-102.60534662715384,492,-0.12535307731321677,-0.8053445195770225,
linear,,,,-66.52498161101565,513,-0.8704685391582014,-0.7303411540381655,
linear,,,,-51.73806431770627,530,-0.7882898279859665,-0.23004502362042212,
linear,,,,-50.54313800191862,531,-0.9965470948326987,-0.357335337766318,
linear,,,,-74.74637191076563,532,-1.0039170353656721,-0.43592941414619224,
periodic,-8.53376288950476,1.749596962735123,-7.909898290437353,-57.59371678786147,546,,,
linear,,,,-71.40121224274098,549,-2.016635720080206,-1.7729569072827411,
periodic,0.7237625091959689,-1.9401666189971782,0.02463248994147258,-74.19315137875326,562,,,
periodic,1.2858069190187928,-1.5514740278213033,-0.4785986923860884,-78.6851089007172,563,,,
periodic,1.3628940233739844,-1.5728240654917263,-0.5918541186564634,-76.22414108215428,564,,,
periodic,2.8048184020753495,5.084821523929188,-2.109034205601931,-66.88033291785202,566,,,
linear,,,,-50.41507491625286,574,-0.39544781841295507,-0.2194305397044123,
linear,,,,-45.27412258527392,575,-0.35957495893992475,-0.16328233859227936,
linear,,,,-30.555209564872936,584,0.6948555304626378,0.020150101684729416,
linear,,,,-39.16369982008872,589,1.2819514094545137,0.2829396037697166,
linear,,,,-79.25057452068974,593,0.8713283353769644,0.07820341810541587,
linear,,,,-50.237930980677945,594,0.15892785781766702,-0.5518822010070008,
linear,,,,-80.33693311092418,595,0.016065625083080293,-0.6123013294637427,
linear,,,,-82.31051583199394,597,0.016651378373665815,-0.5828995273368778,
linear,,,,-61.49916427697342,599,0.009667993655205542,-0.5662608430198106,
linear,,,,-41.558493272522334,600,0.12147828794947213,-0.1078390101760276,
linear,,,,-40.16858082343167,603,-100.19444445990725,99.80555554009283,
linear,,,,-49.301895419379996,604,-0.32765151975087536,-0.035984866383617975,
linear,,,,-58.675059568369036,606,-99.12037036257479,-98.87962963742525,
linear,,,,-52.50497829080942,607,-0.040450665485703086,-0.37980744615840134,
linear,,,,-71.20408135099775,608,0.07025209907485085,0.644033625489374,
linear,,,,-98.18258939875062,609,-0.03528528165505396,0.7153289564983791,
linear,,,,-119.90719785830757,610,-0.00901041881398279,0.8146370366543525,
linear,,,,-39.27335145331053,611,-0.4793069519597488,-0.02080983804570491,
linear,,,,-98.5980564686064,612,0.031003652786088742,-0.6823886764884433,
linear,,,,-51.94723832024758,628,0.7491852654914746,-0.19346818703328017,
linear,,,,-49.35386483318783,632,0.744533205347731,0.08975336343973715,
linear,,,,-36.18498085312713,634,-0.47383932264160333,0.3996244833115844,
linear,,,,-64.18173139456529,643,0.5785135857266319,0.060758708664281305,
linear,,,,-33.42077012537415,651,0.0879722116127973,-0.3092760603017251,
linear,,,,-52.704416762479354,660,0.43059989339802884,0.06662420710024708,
linear,,,,-52.06658392370933,670,0.5692358852703419,0.00933612215917412,
linear,,,,-32.931507997236956,678,0.40943574120891524,-0.18200408085725295,
linear,,,,-36.4507486073344,690,0.4081215783983362,0.17098520028891318,
linear,,,,-47.42495482464706,724,0.2550845610057726,-0.09290586720993543,
linear,,,,-41.053716604991195,728,0.5456813481537948,-0.10056196652273242,
linear,,,,-49.308260503924366,731,0.34304853054121875,-0.3260818951932276,
linear,,,,-43.27488675388808,732,0.42770684271584525,-0.3161558847904331,
linear,,,,-26.973194242694493,733,0.3251555451709054,0.000773114922627105,
linear,,,,-48.697968909727386,739,0.31154066111532286,-0.19854376443884125,
linear,,,,-56.324333800842474,740,0.5301771125172697,-0.25508045991450046,
linear,,,,-53.315059071593176,747,0.5312656141577732,-0.23073091621791852,
